Date,Open,High,Low,Close,Adj Close,Volume
2014-01-01,20.620001,22.000000,19.750000,21.370001,15.369904,7641000
2014-02-01,21.500000,22.940001,20.299999,22.889999,16.463131,4650100
2014-03-01,22.969999,26.680000,22.299999,24.250000,17.441284,14299500
2014-04-01,24.200001,25.139999,21.230000,23.139999,16.642939,6583300
2014-05-01,23.090000,24.580000,20.990000,22.670000,16.304897,4521300
2014-06-01,22.330000,24.950001,22.020000,24.870001,17.887201,4350500
2014-07-01,24.940001,25.000000,22.090000,22.639999,16.428968,3331000
2014-08-01,22.680000,23.969999,22.379999,23.670000,17.176405,2204500
2014-09-01,23.650000,25.340000,22.709999,22.990000,16.682955,3382600
2014-10-01,23.000000,25.650000,21.100000,25.400000,18.587076,4371300
2014-11-01,25.469999,26.830000,23.920000,26.219999,19.187126,3747400
2014-12-01,26.290001,27.080000,24.190001,26.180000,19.157862,5347900
2015-01-01,26.260000,28.830000,24.270000,28.120001,20.736465,5112700
2015-02-01,28.280001,34.700001,27.250000,34.380001,25.352762,8328000
2015-03-01,34.570000,36.130001,33.770000,35.490002,26.171307,5448600
2015-04-01,35.369999,35.650002,29.280001,30.059999,22.294291,5306800
2015-05-01,30.250000,30.870001,28.570000,28.910000,21.441381,4577000
2015-06-01,28.680000,31.820000,27.090000,30.680000,22.754116,6675500
2015-07-01,30.940001,32.990002,29.160000,32.250000,24.087917,6050400
2015-08-01,32.419998,32.450001,27.240000,28.980000,21.645512,7197200
2015-09-01,28.559999,28.750000,23.959999,25.190001,18.814720,3844100
2015-10-01,25.240000,28.170000,24.330000,27.370001,20.590590,4427800
2015-11-01,27.440001,27.709999,24.629999,25.410000,19.116068,4936600
2015-12-01,25.490000,25.870001,22.379999,24.000000,18.055321,5963500
2016-01-01,23.670000,23.860001,19.660000,21.799999,16.533318,5872500
2016-02-01,21.660000,25.240000,19.280001,24.030001,18.224567,5058000
2016-03-01,24.030001,29.920000,23.980000,27.990000,21.227865,7619200
2016-04-01,27.860001,29.500000,26.080000,28.180000,21.541920,4553400
2016-05-01,28.190001,30.309999,27.660000,28.740000,21.970007,4054100
2016-06-01,28.600000,28.990000,25.750000,27.610001,21.106186,3897800
2016-07-01,27.680000,31.420000,26.969999,29.420000,22.646387,5578200
2016-08-01,27.500000,30.440001,27.360001,30.410000,23.408447,7252900
2016-09-01,30.290001,32.279999,30.040001,31.090000,23.931887,4631400
2016-10-01,31.850000,32.830002,31.049999,31.450001,24.369272,4220600
2016-11-01,31.600000,35.650002,30.400000,33.950001,26.306416,6800200
2016-12-01,34.000000,35.500000,31.500000,33.650002,26.073965,11409900
2017-01-01,34.049999,34.900002,33.250000,33.750000,26.306416,7381700
2017-02-01,33.500000,33.849998,30.450001,31.350000,24.435740,37135000
2017-03-01,31.500000,31.600000,29.100000,31.450001,24.513683,34514400
2017-04-01,31.850000,32.099998,29.950001,30.299999,23.778254,21646600
2017-05-01,30.450001,30.549999,22.350000,22.500000,17.657118,46110200
2017-06-01,22.400000,25.580000,22.150000,22.750000,17.853310,46688000
2017-07-01,22.900000,23.600000,19.650000,20.400000,16.152697,38754800
2017-08-01,20.450001,20.900000,12.050000,13.400000,10.610106,92006400
2017-09-01,13.200000,17.650000,13.050000,14.700000,11.639444,74269300
2017-10-01,15.000000,16.500000,13.350000,13.900000,11.167859,51157400
2017-11-01,14.100000,16.400000,10.800000,14.250000,11.449065,86821700
2017-12-01,14.050000,16.000000,13.640000,15.100000,12.131991,54863100
2018-01-01,15.200000,15.650000,12.400000,12.800000,10.430464,44369900
2018-02-01,12.800000,15.900000,12.650000,15.000000,12.223200,40003500
2018-03-01,15.950000,16.080000,13.450000,14.050000,11.449065,34823600
2018-04-01,13.950000,17.950001,13.950000,17.450001,14.404930,33462400
2018-05-01,17.400000,17.600000,14.350000,14.800000,12.217360,36299700
2018-06-01,14.850000,17.549999,14.250000,15.900000,13.125408,30407100
2018-07-01,15.850000,17.850000,15.200000,16.299999,13.641843,32062100
2018-08-01,16.700001,19.549999,15.500000,19.049999,15.943381,47834700
2018-09-01,19.049999,21.450001,18.670000,20.500000,17.156919,41018900
2018-10-01,20.540001,20.600000,17.420000,19.260000,17.558798,41796100
2018-11-01,19.260000,19.879999,13.040000,13.650000,12.444319,44846300
2018-12-01,13.850000,15.440000,11.660000,12.280000,11.195329,26850300
2019-01-01,12.010000,14.750000,11.900000,14.650000,13.541105,21039300
2019-02-01,14.520000,14.590000,12.820000,14.030000,12.968036,26587200
2019-03-01,15.660000,16.500000,14.150000,14.850000,13.725968,40441600
2019-04-01,14.950000,17.070000,14.530000,15.160000,14.204454,33049700
2019-05-01,15.150000,15.300000,11.710000,11.980000,11.224891,41364800
2019-06-01,11.940000,12.080000,9.280000,9.330000,8.741923,48179100
2019-07-01,9.850000,11.980000,8.730000,11.830000,11.287916,68011400
2019-08-01,11.700000,12.490000,10.460000,11.110000,10.600909,59088400
2019-09-01,11.190000,12.130000,10.440000,10.700000,10.209695,37716600
2019-10-01,10.750000,10.950000,8.780000,9.370000,9.091920,52193000
2019-11-01,9.450000,10.350000,7.470000,8.180000,7.937237,77523000
2019-12-01,8.240000,8.780000,7.150000,7.240000,7.195854,72754200
2020-01-01,7.300000,7.600000,6.250000,6.520000,6.480244,66085800
2020-02-01,6.500000,7.780000,5.120000,6.260000,6.221829,58017300
2020-03-01,6.310000,6.320000,1.950000,3.160000,3.140732,123182900
2020-04-01,3.000000,5.530000,1.950000,4.920000,4.920000,230821700
2020-05-01,4.620000,6.410000,3.810000,5.130000,5.130000,226597400
2020-06-01,5.030000,7.350000,3.750000,4.290000,4.290000,170079200
2020-07-01,4.260000,4.820000,3.810000,4.040000,4.040000,81779900
2020-08-01,4.050000,7.100000,3.860000,5.880000,5.880000,196744400
2020-09-01,5.790000,7.710000,4.360000,4.710000,4.710000,142287800
2020-10-01,4.780000,4.800000,2.280000,2.360000,2.360000,250429700
2020-11-01,2.300000,5.000000,2.110000,4.270000,4.270000,563346300
2020-12-01,4.430000,4.430000,2.080000,2.120000,2.120000,614042200
2021-01-01,2.200000,20.360001,1.910000,13.260000,13.260000,4619495600
2021-02-01,17.000000,17.250000,5.260000,8.010000,8.010000,3629496600
2021-03-01,8.860000,9.450000,7.500000,8.050000,8.050000,412526500
2021-03-05,8.080000,8.270000,7.630000,8.050000,8.050000,59734128
